title,description,cuisine,ingredients,servings,cook_time,steps
Clear Onion Soup(Pyaz ka Soup),Onion lovers will find this soup simple and delicious. ,Vegetarian,"2 onions chopped , 4 cups water , 2 teaspoons cornflour dissolved in a little cold water , 2 tablespoons grated cheese , 2 tablespoons butter , salt to taste ",4,12,[' Heat the butter in a pan. Add the chopped onions and saute on low heat for 8 minutes or till they are well browned. Add the water grated cheese and salt. Bring to boil on medium heat. Add the cornflour and simmer on low heat for 4 minutes. Top with a dash of grated cheese just before serving. ']
Potato and Kidney Bean Salad(Aloo Rajma ka Salad),Potatoes (called Aloo in North India) and kidney beans (called Rajma in North India) combine to give this healthy salad.,Vegetarian,"4 potatoes boiled, peeled and cubed , 2 cups kidney beans boiled , 2 onions finely chopped , 1 green chilli(es) crushed with , salt , 1 teaspoons oil , salt, pepper and lemon juice to taste, fresh coriander or parsley to garnish ",4,5,[' Heat oil in a pan on medium level for a few seconds. Add the onions and green chillies. Fry on medium/high heat for about 2 minutes or till the onions are transparent. Add the pre-boiled potatoes cubes kidney beans salt pepper and lemon juice. Keep on low heat for about 3 minutes. Garnish with finely chopped fresh coriander. ']
Green Peas and Carrot Salad(Matar Gajar ka Salad),Green peas (called Matar) and carrots (called Gajar in India) are seasoned with herbs to give this light and nutritious dish.,Vegetarian,"2 big carrots chopped , 1 cups green peas shelled , 1 big onions finely chopped , 1 green chilli(es) crushed with , salt a few mint leaves chopped. , salt, pepper and lemon juice to taste. fresh coriander or parsley to garnish ",4,5,[' Boil the carrots and peas with water on medium / low heat for about 5 minutes or till they are cooked but firm. Cool. Now add the chopped onions chillies mint leaves salt pepper and lemon juice. Mix well. Garnish with finely chopped fresh coriander / parsley. ']
Pineapple and Mango Salad(Aunas Ambo Sasam),Pineapple and mango (called Aunas and Ambo respectively in Konkani) are tossed in a mustard-flavored coconut paste to make a dish that surely serves as an exotic accompaniment. ,Konkani,"4 cups mixed fruits chopped (pineapple, mango, apple and green or black grapes depending on availability) , 4 tablespoons grated coconut , 2 dry red chilli(es) , 1 teaspoons mustard seeds , 2 tablespoons sugar or as per taste , salt to taste ",4,0 Min,[' Mix the sugar into the chopped fruits and keep aside. Grind the coconut with the red chilli(es) and a little water. When almost done add the mustard seeds. Grind for a few more seconds till the mustard seeds are crushed. Add the coconut paste to the fruits with salt and mix well. ']
Sprouted Green Gram Salad(Moong Salad),A crunchy munchy salad full of nutrients. ,Vegetarian,"2 cups sprouted green gram , 4 tablespoons onions finely chopped , 2 cups tomato and cucumber chopped , 2 big lettuce leaves chopped , 2 tablespoons roasted peanuts a dash of lemon and , salt to taste ",4,0 Min,[' Gently mix all the ingredients except for the roasted peanuts in a salad bowl. Keep refrigerated. Mix in the roasted peanuts just before serving. ']
Cottage Cheese Cutlets(Paneer Tikkis),Cottage cheese (also called Paneer in India) combined with potatoes and spices  when fried as cutlets / patties simply melt in the mouth.,Vegetarian,"300 grams (about 12 oz.) cottage cheese crumbled , 2 big potato(es) boiled and mashed , 2 big slices bread , 1 onions finely chopped , 2 green chilli(es) finely chopped , 2 tablespoons cornflour , 2 tablespoons coriander leaves finely chopped oil for shallow frying, , salt and pepper to taste ",4,4,"[' Place the bread slices in water just enough to soak them for about a minute. Squeeze gently between palms of hand and discard excess water. Tear into small pieces and keep aside. Mix the cottage cheese potato(es) onions green chilli(es) cornflour chopped coriander leaves bread pieces, salt and pepper. Shape the mixture into patties. Spread 1 teaspoon of oil on a griddle and heat on medium level for about 2 minutes. Reduce heat to low. Place 4- 5 patties on the griddle and fry for 3 minutes on each side or till both the sides are golden brown. Fry the remaining patties in the same way. ']"
Steamed Spinach Dumplings(Palak Vada),Soft steamed dumplings loaded with iron - rich spinach.,Vegetarian,"4 cups spinach leaves , 4 tablespoons wheat flour , 2 tablespoons bengal gram flour (besan) , 2 tablespoons semolina (rava) , 2 teaspoons each of chopped ginger and garlic , 4 green chilli(es) chopped fine , 1 teaspoons cumin seeds ",4,20,[' Combine all the ingredients in a bowl. Mix well and knead into a soft dough using water. Divide the dough into portions and make a thin long roll with each portion. Steam for about 20 minutes. Cool and cut into slices. Variation: If you wish to have crisp spinach dumplings deep fry the slices to a golden brown color. ']
Potato and Corn Cake(Aloo Makai Tikki),Children are sure to simply love this cheesy 'cake'.,Vegetarian,"4 medium potatoes parboiled , 1 cups cooked corn , 1 onions chopped , 1 tablespoons grated cheese , 2 green chilli(es) chopped fine , 1 tablespoons chopped coriander leaves , 1 teaspoons lemon juice , 1 teaspoons fresh cream , 1 tablespoons butter , salt and pepper to taste ",4,15,[' Grate the parboiled potatoes along with the skin. Keep aside. Heat the butter in a pan till hot. Add the chopped onions and saute on medium heat for about 2 minutes Add the grated potatoes cooked corn salt pepper lemon juice fresh cream chopped green chilli(es) and coriander leaves. Mix well. Spread this mixture evenly in the pan. Sprinkle the grated cheese on top and keep on low heat for 6 minutes. Lift the cake in one piece and turn it upside down. Keep again on low heat for 6 minutes till it is crisp and brown. Cut into squares before serving. ']
Crispy Cheese Rolls(Cheese Kurkure),A handy and tasty starter for cheese lovers.,Vegetarian,"2 tablespoons grated cheese , ½ cups milk , 2 small onions finely chopped , 2 green chilli(es) chopped fine , 1 teaspoons ginger finely chopped , 8 bread slices , 1 tablespoons, finely chopped coriander leaves oil for deep frying , salt to taste ",4,0 Min,[' Mix the milk grated cheese chopped onions green chilli(es) ginger coriander leaves and salt in a bowl. Spoon the mixture on to each bread slice and roll it tight. Heat the oil for deep frying on high flame. Drop in the rolls slowly. Reduce the heat and fry on medium flame stirring frequently till the rolls are crisp and light brown in color. Drain on a paper towel. ']
Deep Fried Mixed Vegetable Dumplings(Vegetable Bonda),Mixed vegetables cooked and tossed in spices dipped in a chickpea batter and deep fried. Served piping hot with ketchup or green chutney. ,Vegetarian,"1 tablespoons oil , 1 teaspoons cumin seeds , 2 teaspoons grated ginger , 2 teaspoons grated garlic , 4 green chillies chopped fine , 1 onions chopped fine , 4 cups mixed vegetables (carrots, beans, peas, potatoes, cauliflower, beetroot) steamed , ½ teaspoons turmeric powder , salt to taste , 4 tablespoons chopped coriander leaves , 1 tablespoons lemon juice ",4,7,[' Heat the oil in a pan. Add the cumin seeds and let them crackle. Add the ginger garlic green chillies and onions. Fry on low-medium heat for about 2 minutes or till the onions are transparent. Add the steamed vegetables half the turmeric powder and salt to taste. Mix well whilst mashing with the back of the ladle on medium heat for about 5 minutes. Put off the flame and let cool. Mix in the coriander leaves and lemon juice. Make lemon-sized balls. To make the batter mix together the gramflour rice flour red chilli powder remaining turmeric powder soda bicarbonate asafoetida powder and salt to taste with water just enough to make a thick batter. Dip each ball in the batter and deep fry in hot oil in batches on medium flame till light golden brown in color. Remove onto a paper towel. ']
Mixed Vegetable Patties(Vegetable Cutlets),Mixed vegetables cooked with spices and shallow fried as cutlets / patties simply melt in the mouth. The patties are served with coconut chutney along with tomato ketchup.,Vegetarian,"2 tablespoons oil , 4 onions finely chopped , 2 cups mixed vegetables, cauliflower, beans,carrots, chopped fine , ½ cups green peas parboiled , 2 big potato(es) boiled and chopped fine , 2 small beetroots boiled and chopped fine , salt to taste , 1 tablespoons lemon juice , 2 tablespoons chopped fresh coriander leaves oil for shallow frying ",4,0,[' Heat the oil in a pan and fry the onions on medium heat for about 3 minutes or till they become transparent. Add the ground paste and fry for about 2 minutes or till aromatic and the raw smell has gone. Mix in the chopped mixed vegetables and green peas. Stir-fry on high heat briefly till the vegatables are well coated with the paste. Cover and cook on low heat whilst stirring at intervals for about 4 minutes or till they are half cooked. Add the boiled potato and beetroot. Sprinkle salt to taste and mix well. Cover and cook on low heat whilst stirring for about 4 minutes. Let cool. Stir in the lemon juice and chopped fresh coriander leaves. Shape the mixture into patties. Heat a griddle and grease it with oil. Place 4- 5 patties on the griddle and fry on each side (drizzle some oil while flipping the patties) till both the sides are golden brown. Fry the remaining patties in the same way. ']
Deep Fried Potato Dumplings(Batata Vada),"Cooked potatoes tossed in spices, dipped in a chickpea batter and deep fried. Served piping hot with ketchup or green chutney. ",Vegetarian,"1 tablespoons oil , 4 green chillies chopped fine , 4 flakes of garlic crushed well , 4 large potatoes , ½ teaspoons turmeric powder , salt to taste , 4 tablespoons chopped coriander leaves ",4,16,[' Cook the potatoes in a large pot of water for about 10 minutes or till done. Cool peel and cube them. Heat the oil in a pan. Add the green chillies and crushed garlic. Fry on medium heat for about 2 minutes or just till the raw smell of the garlic is gone. The garlic should remain white in color. Add the potato cubes half the turmeric powder and salt to taste. Mix well whilst mashing half of the potatoes with the back of the ladle on medium heat for about 4 minutes. Put off the flame and let cool. Mix in the coriander leaves. Make lemon-sized balls. To make the batter mix together the gramflour red chilli powder remaining turmeric powder soda bicarbonate asafoetida powder and salt to taste with water just enough to make a thick batter. Dip each ball in the batter and deep fry in hot oil in batches on medium flame till light golden brown in color. Remove onto a paper towel. ']
Punjabi Samosa,"Cooked potatoes and peas tossed in spices, filled into a triangular pastry shell and deep fried. Served piping hot with ketchup or green chutney. A filling any time snack and a must at every tea party! ",Vegetarian,"½ cups shelled green peas , 2 tablespoons oil , 1 teaspoons cumin seeds , 2 green chillies chopped fine , 1 teaspoons finely chopped ginger , 2 large potato(es) peeled and cubed , ½ teaspoons red chilli powder , salt to taste , ½ teaspoons dry mango powder (amchoor) or lemon juice , ½ teaspoons garam masala (hot spice mix) , 2 tablespoons chopped coriander leaves ",4,20,[' Cook the peas in boiling salted water for about 10 minutes or till soft. Refresh in cold water and drain well. Heat the oil in a pan. Toss in the cumin seeds and let them crackle. Add the green chillies and ginger. Fry briefly. Add the potato cubes and mix well. Add the red chilli powder salt dry mango powder and garam masala powder. Toss well. Sprinkle some water. Cover and cook on low-medium heat for about 10 minutes or till the potatoes are cooked. Mix in the cooked green peas and put off the heat. Let cool. Mix in the coriander leaves. To make the samosa pastry shell sieve together the plain flour baking soda baking powder and salt. Mix in the carom seeds and ghee / oil. Add water little by little whilst mixing with fingers to make a stiff dough the consistency of a shortcrust pastry. Keep covered with a damp cloth for about 1 5 minutes. Divide the dough into 1 6 equal balls. Apply a little dry flour to each ball when rolling into a circle of 4 diameter. Cut each circle into two and lightly dampen the edges of each semicircle with water. Shape each semicircle onto a cone by pressing the cut edges together. Place a spoonful of the potato-pea filling into the cone and seal the edges well (apply some water on the edges if they do not seal well). Repeat this procedure with the rest of the balls. Deep fry in medium-hot oil in batches on medium flame till crisp and golden brown. Remove onto a paper towel. ']
Crispy Rice Loops(Kodbale),Try this tea-time crispy snack brought to you from Karnataka.,Loops(Kodbale),"2 cups rice , 4 tablespoons butter milk as required to make a soft dough , salt to taste oil for deep frying ",Rice,0 Min,[' Wash the rice and spread it on a piece of cloth. Wait till it dries completely. Dry grind it to a fine powder. Mix the rice flour butter and salt well. Add milk little at a time to prepare a soft dough. Knead well. Take small portions of the dough and roll them with the palms into thin elongated string-like shapes just over 2 long. Now let both the ends meet to form oval loops. Join both ends and press well so that they don\'t open up while frying. Prepare such loops with the entire dough and make batches. Heat the oil to a smoking point for deep frying in a pan. Drop in the first batch of loops carefully in the oil. Reduce the heat and fry on a low flame stirring continuously till the loops turn crisp and golden brown in color. Drain on a paper towel. Repeat the procedure for the rest of the batches. Let it cool. The crispy loops can now be stored in an air tight container and enjoyed when you wish even over a week\'s time. ']
Rice and Black Gram Chips(Nippittu),A crispy mouth-watering snack from Karnataka.,Karnataka,"2 cups rice , 4 tablespoons split husked black gram (urad dal) , 2 tablespoons butter , 1 tablespoons cumin seeds , 8 curry leaves , 1 tablespoons cashewnut pieces , 1 tablespoons peanuts split , 2 tablespoons grated coconut , salt to taste water enough to make a soft dough oil for deep frying ",4,0 Min,[ Wash the rice and spread it on a piece of cloth. Wait till it dries completely. Dry grind it to a fine powder. Dry roast the split husked black gram on low flame stirring continuously till it is medium brown in color and gives a good roasted aroma. Cool and dry grind to a fine powder. Mix the rice flour split husked black gram flour cumin seeds curry leaves cashewnut bits peanuts grated coconut butter and salt well. Add water little at a time to prepare a soft and elastic dough. Knead well. Make small portions of the dough and flatten each portion with the hand. Press evenly to make a round shape of the size of a potato chip. Prepare such chips with the entire dough and make batches. Heat the oil to a smoking point for deep frying in a pan. Drop in the first batch of chips carefully in the oil. Reduce the heat and fry on a low flame stirring continuously till the chips turn crisp and golden brown in color. Drain on a paper towel. Repeat the procedure for the rest of the batches. Let it cool. The crispy chips (Nippittu) can now be stored in an air tight container and enjoyed when you wish even over a week's time. ]
Savory Gramflour Cakes(Khaman Dhokla),Gramflour (also called besan in India) mixed with yoghurt and spices to make a thick batter. The batter is steamed and seasoned with mustard and sesame seeds. Dhoklas are served garnished with chopped fresh coriander and grated coconut.,Gujarati,"2 cups Bengalgram flour (besan) , 1 cups yoghurt beaten till smooth , 1 cups warm water , salt to taste , 1 teaspoons green chilly paste , 1 teaspoons ginger paste , ½ teaspoons turmeric powder , 1 teaspoons oil , 1 teaspoons soda bi-carbonate , 1 tablespoons lemon juice , 2 tablespoons oil for seasoning , 1 teaspoons each of mustard and sesame seeds, grated coconut and finely chopped coriander leaves to garnish ",4,11,[' Place the gramflour in a bowl. Mix in the beaten yoghurt and warm water. Keep mixing well so that no lumps remain and the batter is smooth. Mix in salt to taste and keep aside for about 4 hours to ferment. Once fermented mix in the green chilly paste ginger paste and turmeric powder. Adjust the seasoning as per taste. Boil water in the steamer. Grease a metal dish (thali) or something like a cake mould. In a small bowl mix the oil soda-bicarbonate and the lemon juice. Stir it into the gramflour batter and mix. Pour the batter immediately into the greased dish ( do not fill it to the brim as it will rise) and place it in the hot steamer. Steam for about 1 1 minutes or till done and a toothpick comes out clean when inserted into it. Once it has cooled cut into squares and place in a serving dish. Heat the oil for seasoning in a pan. Toss in the mustard seeds and fry till they splutter. Add the sesame seeds and fry briefly till they are light brown and aromatic. Pour this over the steamed dhoklas. ']
Spicy Beaten Rice Mix(Poha Chivda),Thin beaten rice flakes tossed in a spicy tempering and stored in airtight jars to be enjoyed as and when required. Tastes best when served crisp with grated coconut and a sprinkling of sugar.,Indian,"2 tablespoons oil , 1 teaspoons mustard seeds , 1 teaspoons cumin seeds , 2 green chillies chopped fine , 2 dry red chilli(es) broken into bits , 2 tablespoons peanuts , 2 sprigs curry leaves , ½ teaspoons asafoetida powder , ½ teaspoons turmeric powder , 4 cups thin variety beaten rice (patla poha) , salt and sugar to taste grated coconut and sugar for garnish ",4,5,[' Heat the oil in a pan. Toss in the mustard and cumin seeds. Let them crackle. Add the green chillies red chilly pieces and the peanuts. Fry on medium / low level for about 2 minutes ot till the peanuts are aromatic. Drop in the curry leaves asafoetida and the turmeric powder. Fry briefly. Stir in the beaten rice and toss on medium level for about 3 minutes or till it is well coated with the oil and spices. Sprinkle salt and sugar to taste and toss to mix on high level briefly till well heated through. Remove from heat. Let cool and store in an airtight jar. ']
Savory Pancakes,Chickpea flour pancakes made in a jiffy! Tastes simply good with tomato ketchup. ,Vegetarian,"2 cups chickpea flour seived , ½ teaspoons turmeric powder , 1 teaspoons red chilli powder , ½ teaspoons cumin seeds , 2 tablespoons chopped coriander leaves , salt to taste ",4,0 Min,[' In a big bowl place all the above ingredients. Add water so as to make a batter of medium consistency i.e. not too thick nor too runny. Heat a griddle or a nonstick pan. Reduce the heat a little and spread a ladleful of batter evenly. Sprinkle some oil around the pancake. Cook on medium heat for about 2 minutes or till the underside is cooked and has become golden brown. Flip the pancake and sprinkle some oil again around the sides. Cook on medium heat for about 2 minutes or till the other side is also cooked and has become golden brown. Repeat the procedure for making rest of the pancakes. ']
Mixed Vegetable Stew(Kerala Vegetable Stew),Mixed vegetables in a mild coconut milk gravy give this healthy and delicious stew from Kerala (God's own country).,Kerala,"4 teacups chopped mixed vegetables (potatoes, carrots, cauliflower, french beans, and green bell peppers) , 2 medium onions sliced , 4 tablespoons oil , 4 whole green cardamoms , 4 whole cloves , 1 cinnamon sticks ",4,18,[' Heat the oil in a pan on medium level till it is hot. Add the green cardamoms cloves and cinnamon. Fry for a few seconds. Now add the green chilli(es) ginger and the sliced onions. Saute on medium heat for 2 minutes or till the onions are transparent and soft. Add the mixed vegetables curry leaves salt and water. Cover and cook on low heat for 1 5 minutes or till the vegetables are cooked.. Add the peppercorns and the coconut milk. Simmer on very low heat (so that the coconut milk does not curdle) for about 1 minutes. ']
Potatoes with Poppy Seeds(Aloo Poshto),Potatoes and Poppy Seeds (also called Aloo and Poshtodana respectively in Bengal) combine in an unusual way to give this Bengali speciality.,Bengali,"6 big potatoes peeled and cubed , 2 tablespoons poppy seeds (khus khus) roasted , 3 whole dry red chilli(es) , 3 green chilli(es) , ½ teaspoons turmeric powder , 3 tablespoons oil , ½ cups water , salt to taste, chopped fresh coriander to garnish ",4,22,[' Grind the roasted poppy seeds along with the green chilli(es) and a few tablespoons of water to a very fine paste. Keep aside. Heat half of the oil in a pan for 2 minutes till very hot. Shallow fry the cubed potatoes in batches on medium heat till they are lightly browned. Drain on a paper towel and keep aside. Now heat the remaining oil in the same pan. Add the whole dry red chilli(es) and turmeric powder. Fry briefly. To this add the poppy seed paste and fry again on medium / low heat for 5 minutes till the oil has left the sides of the pan. Add now the fried potato cubes and mix well. Add water and salt. Stir cover and keep on low heat for 1 5 minutes till the potatoes are soft. Garnish with chopped fresh coriander ']
Goanese Vegetable Curry,A tempting Goan speciality of mixed vegetables cooked in a traditional coconut milk gravy.,Goan,"4 cups chopped mixed vegetables, potatoes, carrots, cauliflower, french beans, shelled green peas , 2 medium onions chopped , 1 piece ginger chopped , 2 flakes garlic chopped , 2 green chilli(es) chopped , 1 teaspoons hot spice mix (garam masala) (optional) , 2 cups coconut milk, 1 cups water , 3 tablespoons butter / ghee (clarified butter) , salt to taste, finely chopped coriander leaves to garnish. ",4,11,[' Parboil the chopped vegetables and keep aside. Heat half the quantity of butter / ghee (clarified butter) in a pan on medium level till it is hot. Add the chopped onions. Saute on medium heat for 4 minutes or till the onions are transparent and soft. Now add the chopped ginger garlic and green chilli(es). Stir fry briefly for a few seconds. Let it cool. Grind this to a fine paste. Keep aside. Heat the remaining quantity of butter / ghee (clarified butter) in the same pan. Stir fry the paste on medium level till all the water has evaporated and the butter / ghee has left the sides of the pan. Now add the parboiled vegetables and salt. Mix well. Cover and cook on medium / low heat for 3 minutes or till the vegetables are fully cooked. Add the garam masala (optional) coconut milk and water. Simmer on very low heat (so that the coconut milk does not curdle) for about 4 minutes. Garnish with finely chopped coriander leaves. ']
Scrambled Cottage Cheese(Paneer Akuri),"A unique Parsi speciality that is relatively simple and quick to make, yet very delicious.",Parsi,"4 cups crumbled cottage cheese (paneer) , 2 medium onions chopped , 1 teaspoons cumin seeds roasted , 2 flakes garlic chopped , 2 green chilli(es) chopped , 1 teaspoons hot spice mix (garam masala) powder ",4,8,[' Heat the butter / ghee (clarified butter) / oil till it is very hot. Drop in the cumin seeds and let them splutter. Add the chopped green chilli(es) garlic and curry leaves (optional). Stir fry for a few seconds. Now add the chopped onions and saute on medium heat for 2 minutes or till the onions are translucent and crunchy. Add the chopped tomato(es) turmeric powder salt and pepper. Stir fry on medium / low heat for 3 minutes or till the fat leaves the sides of the pan. Now add the garam masala powder and the crumbled cottage cheese. Mix well. Cover and cook on low heat for about 3 minutes. Garnish with finely chopped coriander leaves. NOTE: Tofu could be used in place of Cottage Cheese. ']
